,gid,pa,ep,fp,yp,nb,year,cctv,light,log_pa,log_nb
1343,木夭丑友什66bb26ba,2.234,6.0,23.0,0.0,12.0,2010,0,2,0.803793700647009,2.4849066497880004
1344,木夭丑友什66bb26bb,0.733,130.0,315.0,62.0,52.0,2001,2,12,-0.3106095770954856,3.9512437185814275
1345,木夭丑友什66bb27aa,1.087,132.0,346.0,52.0,32.0,2006,2,1,0.08342160813907236,3.4657359027997265
1346,木夭丑友什66bb27ab,1.087,136.0,181.0,21.0,12.0,1996,1,6,0.08342160813907236,2.4849066497880004
1351,木夭丑友什66bb28ba,1.804,35.0,98.0,14.0,19.0,1997,1,1,0.5900064216404319,2.9444389791664403
1352,木夭丑友什66bb28bb,1.253,139.0,493.0,70.0,91.0,1997,4,13,0.22554067591393115,4.51085950651685
1353,木夭丑友什66bb29aa,1.253,131.0,432.0,70.0,69.0,1997,3,11,0.22554067591393115,4.23410650459726
1354,木夭丑友什66bb29ab,1.253,0.0,11.0,0.0,2.0,1996,0,1,0.22554067591393115,0.6931471805599453
1355,木夭丑友什66bb29ba,0.47,195.0,756.0,120.0,116.0,1997,2,16,-0.7550225842780328,4.7535901911063645
1356,木夭丑友什66bb29bb,0.47,114.0,1007.0,385.0,26.0,1994,0,0,-0.7550225842780328,3.258096538021482
1357,木夭丑友什66bb30aa,0.234,275.0,1227.0,366.0,18.0,1994,3,0,-1.4524341636244356,2.8903717578961645
1358,木夭丑友什66bb30ab,1.083,173.0,743.0,250.0,20.0,1993,0,0,0.07973496801885352,2.995732273553991
1361,木夭丑友什66bb31aa,1.291,149.0,486.0,120.0,19.0,1991,0,0,0.2554171118645054,2.9444389791664403
1362,木夭丑友什66bb31ab,1.291,381.0,1120.0,256.0,11.0,1991,0,0,0.2554171118645054,2.3978952727983707
1363,木夭丑友什66bb31ba,1.291,285.0,1155.0,300.0,14.0,1993,4,0,0.2554171118645054,2.6390573296152584
1364,木夭丑友什66bb31bb,2.786,116.0,592.0,130.0,22.0,1995,1,0,1.024606875357614,3.091042453358316
1365,木夭丑友什66bb32aa,2.261,268.0,1055.0,234.0,27.0,1994,1,0,0.8158071932958328,3.295836866004329
1366,木夭丑友什66bb32ab,2.279,272.0,931.0,220.0,27.0,1992,1,0,0.8237367502635472,3.295836866004329
1367,木夭丑友什66bb32ba,2.279,248.0,631.0,110.0,15.0,1994,3,0,0.8237367502635472,2.70805020110221
1368,木夭丑友什66bb32bb,2.279,161.0,521.0,89.0,17.0,1993,0,4,0.8237367502635472,2.833213344056216
1369,木夭丑友什66bb33aa,1.797,119.0,459.0,129.0,11.0,1995,3,0,0.586118607801422,2.3978952727983707
