설치개수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
1,경기도 성남시 중원구 갈현로 47,경기도 성남시 중원구 갈현동 157-3,37.4239445,127.1780925,2018.8.16
1,경기도 성남시 중원구 갈현로 37,경기도 성남시 중원구 갈현동 188,37.4236941,127.1768153,2018.8.16
1,경기도 성남시 중원구 갈현로 35-2,경기도 성남시 중원구 갈현동 189,37.4237753,127.176759,2018.8.16
1,경기도 성남시 중원구 갈현동 356-4,경기도 성남시 중원구 갈현동 356-4,37.4216073,127.1680666,2018.8.16
1,경기도 성남시 중원구 산성대로396번길 5-6,경기도 성남시 중원구 금광동 4492,37.4472984,127.1588451,2018.8.16
1,경기도 성남시 중원구 산성대로396번길 5-14,경기도 성남시 중원구 금광동 4484,37.4476316,127.1590153,2018.8.16
1,경기도 성남시 중원구 산성대로408번길 3-8,경기도 성남시 중원구 금광동 4530,37.4483613,127.1590959,2018.8.16
1,경기도 성남시 중원구 산성대로420번길 6,경기도 성남시 중원구 금광동 4561,37.4490547,127.1594025,2018.8.16
1,경기도 성남시 중원구 금상로 126-6,경기도 성남시 중원구 상대원동 217,37.441861,127.1686761,2018.8.16
1,경기도 성남시 중원구 박석로93번길19-3,경기도 성남시 중원구 상대원동 2391,37.4395262,127.1630663,2018.8.16
1,경기도 성남시 중원구 금상로 128-6,경기도 성남시 중원구 상대원동 159,37.4417707,127.1688228,2018.8.16
1,경기도 성남시 중원구 금상로 128-10,경기도 성남시 중원구 상대원동 212,37.4416087,127.1687321,2018.8.16
1,경기도 성남시 중원구 희망로367번길43,경기도 성남시 중원구 상대원동 3718,37.4384937,127.1534256,2018.8.16
1,경기도 성남시 중원구 희망로359번길42-9,경기도 성남시 중원구 상대원동 3722,37.4382234,127.1534251,2018.8.16
1,경기도 성남시 중원구 희망로359번길22-13,경기도 성남시 중원구 상대원동 3550,37.4383556,127.1557078,2018.8.16
1,경기도 성남시 중원구 희망로359번길22-7,경기도 성남시 중원구 상대원동 3553,37.4381664,127.1557075,2018.8.16
1,경기도 성남시 중원구 희망로359번길24-12,경기도 성남시 중원구 상대원동 3563,37.4383557,127.1556287,2018.8.16
1,경기도 성남시 중원구 자혜로16번길59,경기도 성남시 중원구 금광동 3741,37.4451356,127.1592022,2018.8.16
1,경기도 성남시 중원구 자혜로8번길 59-9,경기도 성남시 중원구 금광동 4331,37.4454155,127.1587621,2018.8.16
1,경기도 성남시 중원구 자혜로8번길 59-3,경기도 성남시 중원구 금광동 4336,37.4455778,127.1586494,2018.8.16
1,경기도 성남시 중원구 광명로310번길5-5,경기도 성남시 중원구 금광동 369,37.4445206,127.1609299,2018.8.16
1,경기도 성남시 중원구 금빛로41번길38,경기도 성남시 중원구 금광동 1253,37.4447511,127.1637103,2018.8.16
1,경기도 성남시 중원구 금빛로41번길38-11,경기도 성남시 중원구 금광동 1259,37.4449948,127.1634057,2018.8.16
1,경기도 성남시 중원구 광명로334번길7,경기도 성남시 중원구 금광동 1263,37.4449949,127.1632927,2018.8.16
1,경기도 성남시 중원구 박석로85번길26,경기도 성남시 중원구 상대원동 2472,37.4386345,127.1628158,2018.8.16
1,경기도 성남시 중원구 희망로359번길36-7,경기도 성남시 중원구 상대원동 3674,37.4381955,127.1540917,2018.8.16
1,경기도 성남시 중원구 희망로359번길34-11,경기도 성남시 중원구 상대원동 3655,37.4383304,127.154318,2018.8.16
