,year,cctv,light,log_pa,ep,fp,yp,log_nb,label,gid
0,0,0,0,1.795010453310308,-0.3160270880361174,-0.3312280701754386,-0.3230769230769231,-1.2700621945614374,1,木夭丑友什58ab30ba
1,0,0,0,1.7428309319272992,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.2700621945614374,1,木夭丑友什58bb30ab
2,0,0,0,1.7428309319272992,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.2700621945614374,1,木夭丑友什59aa30aa
3,0,0,0,1.7428309319272992,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.0294313608956993,1,木夭丑友什59aa30ab
4,0,1,1,1.612459676993181,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.0294313608956993,0,木夭丑友什59ab30aa
5,0,0,0,1.612459676993181,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.2700621945614374,1,木夭丑友什59ab30ab
6,0,0,0,1.5218618572203926,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.1152255093764603,1,木夭丑友什59ba30aa
7,0,0,0,1.2370949791629453,-0.18058690744920994,-0.3031578947368421,-0.3230769230769231,-0.447339940163651,1,木夭丑友什59ba30bb
8,0,0,0,1.0962094911773874,-0.3431151241534989,-0.33263157894736844,-0.3230769230769231,-0.7262723633726866,1,木夭丑友什59ba31ab
9,0,0,0,1.5559586047925464,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.8587010673625443,1,木夭丑友什59bb29bb
10,0,0,0,1.269366861250391,-0.30248306997742663,-0.3157894736842105,-0.27692307692307694,-0.2583476316502001,1,木夭丑友什59bb30ba
11,0,0,0,1.0650742961087216,-0.3115124153498871,-0.3312280701754386,-0.3230769230769231,-0.8587010673625443,1,木夭丑友什59bb30bb
12,0,0,0,1.0085511148035455,-0.3431151241534989,-0.3298245614035088,-0.3230769230769231,-0.1152255093764603,1,木夭丑友什59bb31aa
13,0,0,0,1.0289806541680684,-0.3431151241534989,-0.3298245614035088,-0.3230769230769231,-0.1152255093764603,1,木夭丑友什59bb31ab
14,0,0,0,1.0289806541680684,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.8587010673625443,1,木夭丑友什59bb31ba
15,0,0,0,0.697044331583594,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.8587010673625443,1,木夭丑友什59bb32bb
16,0,0,0,1.6335511067797885,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.8587010673625443,1,木夭丑友什60aa29ba
17,0,0,0,1.5218618572203926,-0.30699774266365687,-0.3312280701754386,-0.3230769230769231,0.2288785950149577,1,木夭丑友什60aa29bb
18,0,0,0,1.5218618572203926,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.447339940163651,1,木夭丑友什60aa30aa
19,0,0,0,1.269366861250391,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.2700621945614374,1,木夭丑友什60aa30ab
20,0,0,0,0.9390053671499254,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.681423321760331,1,木夭丑友什60aa31bb
21,0,0,0,0.6263077006612258,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.681423321760331,1,木夭丑友什60aa32ba
22,0,1,1,0.697044331583594,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.681423321760331,0,木夭丑友什60aa32bb
23,0,0,0,1.3814853813257968,-0.3115124153498871,-0.32280701754385965,-0.3230769230769231,-0.2583476316502001,1,木夭丑友什60ab29ba
24,0,0,0,1.4537556431461294,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.8587010673625443,1,木夭丑友什60ab29bb
25,0,0,0,0.6662145449255577,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.1152255093764603,1,木夭丑友什60ab32bb
26,0,0,0,1.3814853813257968,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.681423321760331,1,木夭丑友什60ba29ab
27,0,0,0,1.3801187552180547,-0.24830699774266365,-0.263859649122807,-0.3230769230769231,-0.1152255093764603,1,木夭丑友什60ba32ba
28,0,0,0,0.34354994657781257,-0.3431151241534989,-0.32842105263157895,-0.3230769230769231,-1.0294313608956993,1,木夭丑友什60ba32bb
29,0,1,1,1.322142066041568,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.8587010673625443,0,木夭丑友什60bb29aa
30,0,1,1,1.2088783678861057,-0.22121896162528218,-0.24842105263157896,-0.25384615384615383,0.09644989102510006,0,木夭丑友什60bb29ab
31,0,0,0,1.3801187552180547,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.0294313608956993,1,木夭丑友什60bb32ab
32,0,0,0,1.3801187552180547,0.07674943566591422,0.014035087719298246,0.06923076923076923,0.6859136880324573,1,木夭丑友什60bb32ba
33,0,0,0,1.9948517402702561,-0.28893905191873587,-0.1824561403508772,-0.06153846153846154,-0.03597881296475759,1,木夭丑友什60bb32bb
34,0,0,0,1.322142066041568,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.0294313608956993,1,木夭丑友什61aa29aa
35,0,0,0,1.2088783678861057,-0.3431151241534989,-0.31157894736842107,-0.24615384615384617,-0.5265866365753535,1,木夭丑友什61aa29ab
36,0,0,0,1.105051712922588,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.0294313608956993,1,木夭丑友什61aa30bb
37,0,0,0,-0.041102309146869596,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.2700621945614374,1,木夭丑友什61aa32ab
38,0,1,1,-0.041102309146869596,-0.04966139954853273,-0.028070175438596492,-0.015384615384615385,0.5224653098860547,0,木夭丑友什61aa32ba
39,0,0,0,-0.041102309146869596,-0.21670428893905191,-0.1880701754385965,-0.14615384615384616,0.15301349554869328,1,木夭丑友什61aa32bb
40,0,1,1,-0.041102309146869596,-0.18058690744920994,0.06736842105263158,0.3384615384615385,-1.681423321760331,0,木夭丑友什61ab32ab
41,0,1,1,-0.041102309146869596,-0.2799097065462754,-0.24701754385964914,-0.2076923076923077,0.5507310642135506,0,木夭丑友什61ab32ba
42,0,1,1,-0.041102309146869596,-0.1399548532731377,-0.10526315789473684,0.023076923076923078,-0.3774394000310676,0,木夭丑友什61ab32bb
43,0,0,0,1.0674210887293551,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.0294313608956993,1,木夭丑友什61ba29aa
44,0,1,1,-0.041102309146869596,-0.30248306997742663,-0.22035087719298246,-0.12307692307692308,0.42856432181229076,0,木夭丑友什61ba32ab
45,0,1,1,0.19840723914103517,-0.21670428893905191,-0.17964912280701753,-0.038461538461538464,0.6748204929343843,0,木夭丑友什61ba32ba
46,0,1,1,0.19840723914103517,-0.23024830699774265,-0.18666666666666668,-0.1,-0.7262723633726866,0,木夭丑友什61ba32bb
47,0,0,0,1.335861007025375,-0.2979683972911964,-0.31719298245614036,-0.3230769230769231,-0.3149112361737931,1,木夭丑友什61ba36ab
48,0,0,0,-0.1243800563894827,-0.24830699774266365,-0.23017543859649123,-0.2153846153846154,-1.681423321760331,1,木夭丑友什61bb31bb
