year,cctv,light,pa,ep,fp,yp,nb,label,gid
1,1,1,-0.349941676,0.681715576,0.919298246,1.807692308,-0.292682927,2,木夭丑友什62aa32aa
1,1,1,-0.691884686,0.501128668,0.696140351,1.1,0.097560976,2,木夭丑友什62aa32ab
1,1,1,0.208631895,0.18510158,0.398596491,0.976923077,-0.06504065,2,木夭丑友什62aa32ba
1,1,1,11.07348775,-0.004514673,0.38877193,1.107692308,0.06504065,4,木夭丑友什62aa32bb
0,0,0,1.079153474,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什62aa33bb
1,0,0,2.542909515,-0.343115124,-0.341052632,-0.323076923,-0.195121951,0,木夭丑友什62aa34ab
1,1,1,1.917680387,-0.279909707,-0.291929825,-0.323076923,0,0,木夭丑友什62aa36ab
1,1,1,1.917680387,-0.243792325,-0.280701754,-0.323076923,0.195121951,0,木夭丑友什62aa36ba
1,1,1,1.713047825,-0.316027088,-0.324210526,-0.323076923,0.195121951,0,木夭丑友什62aa36bb
1,0,0,1.789701716,-0.266365688,-0.296140351,-0.269230769,-0.162601626,0,木夭丑友什62aa37aa
0,0,0,2.042992835,-0.316027088,-0.33122807,-0.323076923,-0.487804878,0,木夭丑友什62ab28ab
1,0,0,1.012497917,-0.343115124,-0.327017544,-0.323076923,-0.292682927,0,木夭丑友什62ab30ab
1,0,0,0.994500917,-0.311512415,-0.324210526,-0.323076923,-0.260162602,0,木夭丑友什62ab30ba
1,0,0,-0.112647892,0.081264108,-0.019649123,0.038461538,-0.032520325,0,木夭丑友什62ab31ba
1,1,1,-0.44725879,0.130925508,0.015438596,0.169230769,-0.455284553,0,木夭丑友什62ab31bb
1,1,1,-0.44725879,0.207674944,0.401403509,0.846153846,-0.325203252,2,木夭丑友什62ab32aa
1,1,1,-0.44725879,0.374717833,0.593684211,1.292307692,0.227642276,2,木夭丑友什62ab32ab
1,1,1,-0.691884686,0.306997743,0.610526316,1.246153846,0.390243902,2,木夭丑友什62ab32ba
1,1,1,11.07348775,0.018058691,0.175438596,0.292307692,-0.260162602,4,木夭丑友什62ab32bb
1,0,0,1.079153474,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什62ab33bb
0,0,0,2.437593734,-0.343115124,-0.341052632,-0.323076923,-0.227642276,0,木夭丑友什62ab34ab
1,0,0,2.212964506,-0.343115124,-0.341052632,-0.323076923,-0.097560976,0,木夭丑友什62ab35ba
0,0,0,2.212964506,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什62ab35bb
1,0,0,3.408765206,-0.343115124,-0.341052632,-0.323076923,-0.455284553,0,木夭丑友什62ab36ab
0,0,0,1.713047825,-0.343115124,-0.341052632,-0.323076923,-0.357723577,0,木夭丑友什62ab36bb
0,0,0,1.789701716,-0.257336343,-0.29754386,-0.323076923,0.032520325,0,木夭丑友什62ab37aa
0,0,0,2.590901516,-0.343115124,-0.341052632,-0.323076923,-0.422764228,0,木夭丑友什62ba28ab
1,0,0,0.923846026,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什62ba30ab
1,0,0,0.994500917,-0.279909707,-0.317192982,-0.323076923,-0.195121951,0,木夭丑友什62ba30ba
1,0,0,0.994500917,-0.343115124,-0.325614035,-0.323076923,-0.162601626,0,木夭丑友什62ba30bb
1,0,0,0.994500917,-0.297968397,-0.32,-0.323076923,-0.260162602,0,木夭丑友什62ba31aa
1,1,1,-0.44725879,-0.198645598,-0.05754386,0.361538462,0.130081301,0,木夭丑友什62ba32ab
1,1,1,-0.691884686,0.022573363,0.028070175,0.053846154,1.886178862,2,木夭丑友什62ba32ba
1,1,1,11.07348775,0.112866817,0.065964912,0.053846154,1.528455285,4,木夭丑友什62ba32bb
1,1,1,11.07348775,-0.225733634,-0.255438596,-0.230769231,-0.390243902,4,木夭丑友什62ba33aa
1,0,0,2.437593734,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什62ba34ba
1,0,0,2.212964506,-0.279909707,-0.286315789,-0.323076923,0,0,木夭丑友什62ba35ab
0,1,1,2.212964506,-0.270880361,-0.311578947,-0.323076923,0.097560976,0,木夭丑友什62ba35ba
1,0,0,2.212964506,-0.343115124,-0.341052632,-0.323076923,-0.455284553,0,木夭丑友什62ba35bb
0,0,0,0.879186802,-0.306997743,-0.321403509,-0.323076923,-0.162601626,0,木夭丑友什62bb28aa
0,0,0,0.82386269,-0.343115124,-0.341052632,-0.323076923,-0.455284553,0,木夭丑友什62bb28ab
1,1,1,1.139143476,-0.343115124,-0.33122807,-0.323076923,-0.292682927,0,木夭丑友什62bb28bb
1,0,0,1.139143476,-0.306997743,-0.324210526,-0.323076923,-0.390243902,0,木夭丑友什62bb29aa
1,0,0,1.303116147,-0.343115124,-0.33122807,-0.323076923,-0.455284553,0,木夭丑友什62bb31ba
1,1,1,-0.254624229,-0.343115124,-0.341052632,-0.323076923,-0.422764228,0,木夭丑友什62bb32aa
