,gid,cctv,light,log_pa,ep,fp,yp,nb
260,дь_64bb35ba,-0.5,-0.5,0.736685483,-0.343115124,-0.341052632,-0.323076923,2.0346159972975615
261,дь_64bb35bb,0.5,0.5,0.243730185,-0.288939052,-0.303157895,-0.323076923,2.6146012016941915
262,дь_64bb36aa,0.0,0.0,0.464362749,-0.306997743,-0.341052632,-0.323076923,1.1559704510713553
263,дь_64bb36ab,0.0,0.0,0.464362749,-0.275395034,-0.318596491,-0.323076923,1.871591121293624
264,дь_64bb36ba,1.5,1.5,0.464362749,0.036117381,-0.103859649,-0.146153846,3.3339685236581023
265,дь_64bb36bb,-0.5,-0.5,0.317726194,-0.343115124,-0.327017544,-0.323076923,0.7524504306244418
266,дь_64bb37ab,0.0,0.0,-0.240798487,-0.343115124,-0.341052632,-0.323076923,0.7524504306244418
267,дь_64bb38bb,-0.5,-0.5,0.724645848,-0.279909707,-0.284912281,-0.269230769,0.09548225679308976
268,дь_64bb39aa,0.0,0.0,0.947401727,-0.081264108,-0.196491228,-0.246153846,2.7831922916032688
269,дь_64bb39ab,0.5,0.5,0.947401727,-0.212189616,-0.241403509,-0.238461538,2.4167334156165534
270,дь_64bb39ba,-0.5,-0.5,1.240690387,-0.23476298,-0.237192982,-0.192307692,1.449334001130827
271,дь_64bb39bb,0.0,0.0,1.241557565,-0.261851016,-0.277894737,-0.246153846,0.7524504306244418
272,дь_64bb40aa,0.0,0.0,0.915890652,-0.212189616,-0.237192982,-0.223076923,1.871591121293624
273,дь_65aa27aa,-0.5,-0.5,0.381172416,-0.343115124,-0.341052632,-0.323076923,0.7524504306244418
274,дь_65aa27ab,-0.5,-0.5,0.446607051,0.334085779,0.157192982,-0.153846154,0.09548225679308976
275,дь_65aa27ba,-0.5,-0.5,-1.027222293,-0.194130926,-0.143157895,-0.146153846,1.6805105247454442
276,дь_65aa27bb,0.5,0.5,-1.027222293,-0.225733634,-0.224561404,-0.323076923,1.871591121293624
277,дь_65aa28aa,0.0,0.0,-1.027222293,3.110609481,3.323508772,3.138461538,2.5199610850467526
278,дь_65aa28ab,-0.5,-0.5,-2.009915479,1.62979684,1.92,3.184615385,2.7831922916032688
279,дь_65aa28ba,0.0,0.0,-0.432322562,1.083521445,1.863859649,3.7,2.4167334156165534
280,дь_65aa28bb,1.0,1.0,-0.432322562,1.64785553,1.807719298,2.9,3.1777171998095506
281,дь_65aa29aa,0.0,0.0,2.093221165,0.600451467,1.155087719,1.653846154,-2.205124015364859
282,дь_65aa29ab,-0.5,-0.5,2.030251297,0.699774266,2.752280702,0.476923077,0.09548225679308976
283,дь_65aa29ba,0.0,0.0,1.852384091,-0.284424379,-0.283508772,-0.323076923,2.4167334156165534
284,дь_65aa29bb,0.0,0.0,1.812052172,0.275395034,1.710877193,0.123076923,2.1768845859352064
285,дь_65aa30aa,-0.5,-0.5,1.812052172,1.467268623,1.477894737,1.492307692,1.449334001130827
286,дь_65aa30ab,0.0,0.0,1.812052172,2.297968397,3.331929825,4.123076923,2.1768845859352064
287,дь_65aa30ba,0.0,0.0,1.770365577,1.34537246,1.214035088,2.269230769,-2.205124015364859
288,дь_65aa30bb,-0.5,-0.5,1.727043155,0.505643341,0.467368421,0.976923077,-2.205124015364859
289,дь_65aa31ba,-0.5,-0.5,1.415610415,-0.176072235,-0.193684211,-0.092307692,-2.205124015364859
290,дь_65aa31bb,-0.5,-0.5,1.229640551,-0.090293454,-0.144561404,-0.053846154,-2.205124015364859
291,дь_65aa32bb,-0.5,-0.5,0.740030766,0.009029345,0.109473684,0.123076923,-2.205124015364859
292,дь_65aa33ba,-0.5,-0.5,0.639746404,-0.343115124,-0.341052632,-0.323076923,-2.205124015364859
293,дь_65aa33bb,-0.5,-0.5,0.609765572,-0.343115124,-0.32,-0.323076923,-2.205124015364859
294,дь_65aa35ab,-0.5,-0.5,0.43567095,-0.343115124,-0.341052632,-0.323076923,-2.205124015364859
295,дь_65aa35ba,-0.5,-0.5,1.314798359,-0.297968397,-0.328421053,-0.323076923,0.09548225679308976
296,дь_65aa35bb,0.0,0.0,0.243730185,-0.126410835,-0.188070175,-0.215384615,2.930174942615175
297,дь_65aa36aa,-0.5,-0.5,0.464362749,-0.343115124,-0.341052632,-0.323076923,-2.205124015364859
298,дь_65aa36ab,-0.5,-0.5,0.464362749,-0.343115124,-0.33122807,-0.323076923,0.09548225679308976
299,дь_65aa36ba,-0.5,-0.5,0.464362749,-0.257336343,-0.296140351,-0.238461538,0.09548225679308976
300,дь_65aa36bb,-0.5,-0.5,0.163818085,-0.343115124,-0.341052632,-0.323076923,-2.205124015364859
301,дь_65aa38bb,-0.5,-0.5,0.724645848,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
302,дь_65aa39ab,-0.5,-0.5,0.947401727,-0.239277652,-0.259649123,-0.230769231,2.4167334156165534
303,дь_65aa39ba,0.5,0.5,1.172172492,0.009029345,-0.151578947,-0.184615385,3.2841721149714416
304,дь_65aa39bb,-0.5,-0.5,1.128494663,-0.279909707,-0.290526316,-0.323076923,0.7524504306244418
