gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등
ㅼ궗669383,127.12637,37.44373787,370,172,198,15,6,9,92,54,38,70,1,63,1990.2,0,9
ㅼ궗663278,127.1200652,37.34907316,28,14,14,0,0,0,0,0,0,,,,,0,0
ㅼ궗700379,127.1614312,37.44023802,420,195,225,17,7,10,87,49,38,44,5,32,1991.95,1,7
ㅼ궗690411,127.1499925,37.46904851,131,60,71,30,9,21,7,0,0,10,,10,2016.9,0,0
ㅼ궗686390,127.1455584,37.45010656,66,34,32,0,0,0,13,8,0,5,2,2,1993.4,2,5
ㅼ궗695387,127.155746,37.44743257,489,257,232,30,18,12,131,75,56,12,6,4,2000.5,0,7
ㅼ궗680307,127.139134,37.37527297,198,113,85,31,17,14,27,17,10,7,4,,1998.14,0,0
ㅼ궗667323,127.1243793,37.3896491,453,247,206,57,29,28,79,48,31,4,2,,1992,0,0
ㅼ궗696399,127.1568271,37.45825214,652,300,352,30,16,14,118,63,55,44,39,5,1994.16,2,9
ㅼ궗670384,127.127496,37.44464279,351,164,187,8,0,0,88,47,41,67,,56,1990.61,2,9
ㅼ궗675368,127.1332189,37.43023875,541,288,253,18,11,7,140,85,55,40,14,22,1997.9,0,14
ㅼ궗606326,127.0554542,37.39211421,49,23,26,0,0,0,0,0,0,7,5,,2006.14,0,12
ㅼ궗659273,127.115572,37.34455172,274,160,114,0,0,0,95,63,32,3,1,,2005,2,0
ㅼ궗708399,127.1703955,37.45829077,600,304,296,40,14,26,97,57,40,2,2,,1987,0,0
ㅼ궗657315,127.1131197,37.38240177,0,0,0,,,,0,,0,1,,,2003,0,0
ㅼ궗683344,127.142364,37.40863379,412,220,192,40,21,19,46,28,18,2,,,2003,0,0
ㅼ궗644294,127.0985364,37.36342418,40,24,16,,,,16,8,8,9,3,1,2003.56,0,3
ㅼ궗652282,127.1076269,37.35263809,207,104,103,21,7,14,24,15,9,1,1,,1996,0,0
ㅼ궗646294,127.1007949,37.36343182,0,0,0,,,,0,0,0,4,,1,2004.75,0,0
ㅼ궗681374,127.1399746,37.43566775,779,351,428,47,23,24,41,24,17,9,2,,2009,0,1
ㅼ궗675332,127.1333771,37.39778974,14,6,8,,,,0,0,0,3,,1,2007.67,0,3
ㅼ궗707380,127.1693402,37.44116178,711,360,351,73,30,43,155,98,57,3,3,,1994,0,0
ㅼ궗664290,127.1211399,37.35989321,788,415,373,114,61,53,135,75,60,9,9,,1995,0,0
ㅼ궗702376,127.1637041,37.43754039,517,241,276,36,23,13,106,57,49,81,9,71,1988.1,0,18
ㅼ궗683305,127.1425309,37.37348052,306,157,149,25,8,17,39,17,22,12,5,,1994,0,0
ㅼ궗685394,127.1444108,37.45370859,544,280,264,66,35,31,93,52,41,11,11,,2020,0,0
ㅼ궗630282,127.0827866,37.35255309,0,0,,,,,0,0,,1,,1,1997,0,3
ㅼ궗624307,127.0758851,37.37506307,0,0,0,,,,0,0,0,3,,3,2017,0,0
ㅼ궗632373,127.0845924,37.43458472,73,40,33,9,0,0,16,8,8,12,,11,2007.33,0,1
ㅼ궗701392,127.162509,37.45195892,182,91,91,18,6,12,34,20,14,1,1,,1995,0,0
ㅼ궗657319,127.1131012,37.38600723,17,7,10,,,,0,0,,4,,4,2011.75,0,1
ㅼ궗681317,127.1402204,37.38429008,148,71,77,13,0,8,24,11,13,7,3,2,2003.86,0,1
ㅼ궗661293,127.1177386,37.36258641,242,126,116,29,13,16,34,19,15,3,1,,1995,0,0
ㅼ궗680375,127.13884,37.43656566,215,107,108,11,0,6,51,26,25,7,1,4,1991.29,0,2
ㅼ궗704403,127.1658567,37.4618835,292,146,146,12,0,9,64,36,28,31,2,27,1993.16,2,4
ㅼ궗692380,127.1523836,37.44111313,0,,0,,,,0,,0,3,,1,1992,2,18
ㅼ궗665295,127.1222465,37.36440366,434,227,207,44,19,25,42,26,16,2,2,,1994,0,0
ㅼ궗679310,127.1379916,37.37797362,80,37,43,0,0,0,0,0,0,7,,7,1996.29,0,3
ㅼ궗648400,127.102549,37.45898343,112,52,60,10,0,6,21,12,9,22,,14,2007.77,0,3
ㅼ궗656308,127.1120226,37.37608852,872,506,366,29,13,16,64,39,25,1,,,2004,0,0
ㅼ궗684365,127.1434042,37.4275658,228,118,110,16,10,6,47,30,17,16,8,2,1997.25,0,5
ㅼ궗643314,127.0973108,37.38144762,11,7,0,0,0,0,0,0,,2,,1,2000,0,0
ㅼ궗678319,127.136823,37.38608246,32,13,19,0,,0,6,0,0,10,,5,2004.8,0,5
