gid,lon,lat,fp,yp,ep,nb,cctv_light,b20,label
木夭丑友什678345,127.1367099,37.40951793,11,5,5.656854249,2.645751311,1,1,1
木夭丑友什703374,127.1648425,37.43574088,15.23154621,6.480740698,9,6.403124237,1,1,0
木夭丑友什670369,127.1275631,37.43112244,13.52774926,3.16227766,10.34408043,5.656854249,1,1,0
木夭丑友什678385,127.1365356,37.44557231,17.3781472,6.244997998,11.91637529,6.244997998,1,1,5
木夭丑友什689318,127.1492529,37.3852186,8.366600265,3.872983346,4.472135955,3.16227766,1,0,1
木夭丑友什706397,127.1681421,37.45648172,17.94435844,7,11.40175425,7.071067812,1,1,5
木夭丑友什668378,127.125262,37.43922751,11.18033989,5.196152423,8.062257748,2.236067977,0,1,1
木夭丑友什670373,127.1275452,37.43472787,12.76714533,4.898979486,6,3.605551275,1,1,2
木夭丑友什688368,127.1479125,37.43028343,12.72792206,4.123105626,9.055385138,5.916079783,1,1,2
木夭丑友什680366,127.1388789,37.42845343,10,3.741657387,6.782329983,4.123105626,1,1,1
木夭丑友什685302,127.1448025,37.37078322,8.774964387,3.464101615,5.656854249,3.16227766,1,1,1
木夭丑友什668379,127.1252575,37.44012887,14.59451952,3.464101615,8.185352772,5.744562647,1,1,0
木夭丑友什681384,127.1399315,37.44468133,7.745966692,3.16227766,4.69041576,3,1,1,1
木夭丑友什697380,127.1580358,37.44112962,19,5.196152423,13.6381817,9.695359715,1,1,5
木夭丑友什645274,127.0997614,37.34540067,7.874007874,0,6.633249581,3.741657387,0,1,4
木夭丑友什697387,127.1580071,37.44743913,10.72380529,4,6.8556546,4.358898944,1,1,2
木夭丑友什704382,127.1659409,37.44295497,6.708203932,0,4.795831523,2.828427125,1,1,4
木夭丑友什681372,127.1399833,37.43386504,16.0623784,5.916079783,11.44552314,6.782329983,1,1,5
木夭丑友什701399,127.1624806,37.45826843,18.02775638,6.557438524,10.67707825,6.633249581,1,1,5
木夭丑友什671376,127.1286622,37.4374355,10.53565375,0,7.937253933,6,1,1,2
木夭丑友什609327,127.058838,37.39302826,8.246211251,4,3.464101615,3,1,0,1
木夭丑友什677389,127.1353876,37.44917425,14.24780685,4.582575695,10.29563014,9.486832981,1,1,3
