,gid,pa,ep,fp,yp,nb,year,cctv,light
2191,木夭丑友什70bb38bb,1.578,111.0,601.0,61.0,15.0,0,1,1
2192,木夭丑友什70bb39aa,0.587,102.0,306.0,55.0,18.0,0,1,1
2193,木夭丑友什70bb39ab,0.502,358.0,1006.0,166.0,167.0,0,1,1
2194,木夭丑友什70bb39ba,0.502,203.0,468.0,54.0,64.0,0,1,1
2195,木夭丑友什70bb39bb,0.502,439.0,1230.0,169.0,81.0,0,1,1
2196,木夭丑友什70bb40aa,1.357,332.0,1027.0,191.0,12.0,0,1,1
2197,木夭丑友什70bb40ab,1.357,486.0,1062.0,157.0,140.0,0,1,1
2198,木夭丑友什70bb40ba,1.357,34.0,57.0,0.0,5.0,0,0,0
2215,木夭丑友什71aa35bb,4.253,8.0,19.0,0.0,9.0,0,0,0
2216,木夭丑友什71aa36aa,4.005,44.0,102.0,23.0,25.0,1,1,1
2219,木夭丑友什71aa36bb,0.944,0.0,0.0,0.0,9.0,0,0,0
2220,木夭丑友什71aa37aa,0.944,6.0,20.0,0.0,20.0,0,0,0
2221,木夭丑友什71aa37ab,0.944,0.0,0.0,0.0,5.0,0,0,0
2223,木夭丑友什71aa37bb,0.994,0.0,25.0,0.0,20.0,0,0,0
2224,木夭丑友什71aa38aa,0.994,0.0,11.0,0.0,3.0,0,0,0
2227,木夭丑友什71aa38bb,1.189,131.0,422.0,97.0,2.0,1,1,1
2228,木夭丑友什71aa39aa,1.621,305.0,1059.0,287.0,16.0,1,0,0
2249,木夭丑友什71ab36aa,4.005,62.0,109.0,13.0,30.0,1,1,1
2252,木夭丑友什71ab36bb,1.93,0.0,0.0,0.0,11.0,0,0,0
2253,木夭丑友什71ab37aa,1.087,0.0,0.0,0.0,26.0,0,0,0
2255,木夭丑友什71ab37ba,0.994,0.0,0.0,0.0,21.0,0,0,0
2256,木夭丑友什71ab37bb,0.994,0.0,0.0,0.0,7.0,0,0,0
2257,木夭丑友什71ab38aa,0.994,0.0,0.0,0.0,8.0,0,0,0
2258,木夭丑友什71ab38ab,0.358,0.0,0.0,0.0,3.0,0,0,0
2269,木夭丑友什71ab41aa,2.241,0.0,0.0,0.0,2.0,0,0,0
2276,木夭丑友什71ba36aa,4.005,12.0,20.0,0.0,14.0,1,0,0
2279,木夭丑友什71ba36bb,1.93,0.0,0.0,0.0,8.0,0,0,0
2280,木夭丑友什71ba37aa,2.254,0.0,0.0,0.0,15.0,0,0,0
2281,木夭丑友什71ba37ab,0.953,234.0,505.0,75.0,60.0,0,1,1
2282,木夭丑友什71ba37ba,0.994,0.0,0.0,0.0,11.0,0,0,0
2283,木夭丑友什71ba37bb,0.994,199.0,615.0,74.0,22.0,0,0,0
2284,木夭丑友什71ba38aa,0.994,364.0,846.0,152.0,24.0,0,0,0
2285,木夭丑友什71ba38ab,1.668,42.0,103.0,8.0,27.0,1,1,1
2286,木夭丑友什71ba38ba,1.387,73.0,147.0,16.0,16.0,0,0,0
2295,木夭丑友什71ba40bb,1.882,0.0,0.0,0.0,1.0,0,0,0
2309,木夭丑友什71bb37ab,1.959,80.0,132.0,11.0,21.0,0,0,0
2310,木夭丑友什71bb37ba,2.05,0.0,0.0,0.0,1.0,0,0,0
2312,木夭丑友什71bb38aa,2.05,82.0,230.0,54.0,4.0,0,1,1
2313,木夭丑友什71bb38ab,1.668,51.0,93.0,14.0,17.0,0,0,0
2314,木夭丑友什71bb38ba,1.434,19.0,50.0,8.0,7.0,0,1,1
2341,木夭丑友什72aa38ba,1.434,0.0,0.0,0.0,2.0,1,0,0
