,gid,pa,ep,fp,yp,nb,year,cctv,light
1745,木夭丑友什68ba29bb,2.342,109.0,410.0,47.0,60.0,0,1,1
1746,木夭丑友什68ba30aa,2.342,281.0,779.0,130.0,109.0,0,1,1
1747,木夭丑友什68ba30ab,2.342,147.0,505.0,110.0,44.0,0,1,1
1748,木夭丑友什68ba30ba,1.977,90.0,313.0,43.0,46.0,0,1,1
1749,木夭丑友什68ba30bb,1.977,119.0,350.0,55.0,54.0,0,1,1
1762,木夭丑友什68ba34aa,1.844,146.0,392.0,78.0,17.0,0,1,1
1763,木夭丑友什68ba34ab,1.844,192.0,570.0,109.0,37.0,0,1,1
1764,木夭丑友什68ba34ba,1.844,33.0,44.0,9.0,8.0,0,0,0
1765,木夭丑友什68ba34bb,2.309,234.0,611.0,102.0,11.0,1,1,1
1766,木夭丑友什68ba35aa,1.441,32.0,150.0,53.0,2.0,1,0,0
1771,木夭丑友什68ba36ab,1.643,66.0,188.0,28.0,31.0,0,0,0
1772,木夭丑友什68ba36ba,1.643,130.0,322.0,51.0,78.0,0,1,1
1773,木夭丑友什68ba36bb,1.104,234.0,766.0,200.0,49.0,0,1,1
1775,木夭丑友什68ba37ab,0.803,73.0,167.0,24.0,14.0,0,0,0
1776,木夭丑友什68ba37ba,1.139,342.0,814.0,137.0,165.0,0,1,1
1777,木夭丑友什68ba37bb,1.139,42.0,84.0,0.0,195.0,0,1,1
1778,木夭丑友什68ba38aa,1.139,530.0,1019.0,85.0,459.0,0,1,1
1779,木夭丑友什68ba38ab,0.75,751.0,1435.0,128.0,566.0,0,1,1
1780,木夭丑友什68ba38ba,0.75,141.0,390.0,72.0,67.0,0,1,1
1781,木夭丑友什68ba38bb,0.75,344.0,950.0,177.0,96.0,0,1,1
1782,木夭丑友什68ba39aa,0.37,49.0,151.0,41.0,9.0,0,1,1
1783,木夭丑友什68ba39ab,1.149,525.0,1888.0,472.0,22.0,1,0,0
1784,木夭丑友什68ba39ba,1.299,142.0,556.0,154.0,3.0,1,0,0
1786,木夭丑友什68ba40aa,1.32,13.0,28.0,13.0,13.0,0,0,0
1787,木夭丑友什68ba40ab,1.32,223.0,681.0,148.0,26.0,1,0,0
1788,木夭丑友什68ba40ba,1.32,203.0,647.0,150.0,32.0,1,0,0
