pa,ep,fp,yp,light,nb,label,all,score,gid
0.6888229815990687,0.5540368341556742,0.5411664390541541,0.5629599739220131,0.8434332324750906,0.4713978962850451,2,1.6581632471318413,0.2478567525400665,木夭丑友什60bb32ba
0.4501343813161517,0.5017150731637381,0.522690346411656,0.529364619596032,0.7236345170406221,0.3634628232455449,2,1.5537700391714262,0.2865038868030499,木夭丑友什61aa32ba
0.5271933474787696,0.6041077962632336,0.5628110503808386,0.6149658312208635,0.6952427513908133,0.0,2,1.7818846778649355,0.22576670266651672,木夭丑友什63bb33ab
0.528387504258479,0.6091095912920571,0.7476736644680175,0.8799824353709829,0.710448519931531,0.0,2,2.2367656911310574,0.37446530815177437,木夭丑友什64aa32ab
0.5639991705505127,0.5297207861548061,0.4552393900503243,0.4276402014617925,0.7456140596664806,0.5974249258015285,2,1.412600377666923,0.2760276776655027,木夭丑友什64ab29ab
0.5792397142938314,0.499537625003345,0.4714805499074065,0.4679286799748847,0.6773487315040667,0.4966007766807235,2,1.4389468548856361,0.267185858163677,木夭丑友什64ab30aa
0.9745166903964098,0.5620187915574368,0.6464505496105424,0.7679828138727407,0.879421584328062,0.0,2,1.97645215504072,0.09702783978862606,木夭丑友什64ab32ba
0.5792397142938314,0.6473884070800886,0.6053385869607772,0.5573388876151176,0.7712273719644986,0.570231843759951,2,1.8100658816559836,0.38859676862302034,木夭丑友什64ba30aa
0.7061728937745608,0.5297207861548061,0.5174414212976134,0.5114418062245607,0.6952427513908133,0.5503593457856598,2,1.55860401367698,0.2811935967874371,木夭丑友什64ba30ab
0.5488485557557324,0.5457076605694384,0.5085814174060442,0.4954783360922658,0.8293267829986307,0.5349965378492759,2,1.5497674140677486,0.2801722114116104,木夭丑友什64ba39aa
0.4603444717599201,0.5387702219933951,0.4839313814698168,0.4575012302654772,0.7712273719644986,0.592455843819703,2,1.480202833728689,0.3212345051442356,木夭丑友什64bb36ba
0.5488485557557324,0.4858758173125914,0.4205576245574369,0.3606692977081388,0.7236345170406221,0.5349965378492759,2,1.267102739578167,0.21718476934919856,木夭丑友什64bb39aa
0.5898813345287681,0.5278567760662036,0.4542895671429074,0.4276402014617925,0.8466128143843599,0.5872729811709861,2,1.4097865446709035,0.2325659218693154,木夭丑友什65aa39ba
0.5430884585167259,0.5604486192099356,0.4894518796786413,0.4868360150543355,0.8075384487537819,0.6021973864335378,2,1.5367365139429126,0.30696657088792395,木夭丑友什65aa40aa
0.4450573662453904,0.488228112620424,0.604052919628089,0.3493295039147985,0.5924185186098975,0.4392338837580257,2,1.4416105361633116,0.3161828413979833,木夭丑友什65ab26bb
0.1842435638285621,0.6717362183334828,0.7078661757343208,0.6449876014259062,0.4445404876277147,0.7019176561223242,2,2.0245899954937094,0.7278940983976863,木夭丑友什65ab27ba
0.2053897820657232,0.5813585543174117,0.5745485844949669,0.5573388876151176,0.6285450874825744,0.5639674701162215,2,1.713246026427496,0.5128462220109009,木夭丑友什65ab30aa
0.4450573662453904,0.5507487314639262,0.5596322831698347,0.4061800407471553,0.6773487315040667,0.4190541104323576,2,1.5165610553809161,0.3085368479380537,木夭丑友什65ba26bb
0.3914182702774716,0.7719242653309534,0.7286921898273178,0.6268198180977582,0.7850385163907437,0.7451416583153351,2,2.1274362732560292,0.6085826505773109,木夭丑友什65ba27ab
0.3435140890977226,0.7570300905899987,0.8117687403890139,0.8217865618984088,0.655713942426947,0.7748969246350796,2,2.3905853928774214,0.7621707896096273,木夭丑友什65ba27ba
0.3435140890977226,0.6816547474510076,0.6880481858745613,0.7207326027853058,0.4445404876277147,0.6450957329485866,2,2.090435536110875,0.6818887593106635,木夭丑友什65ba27bb
0.4432907890213581,0.6851554990380387,0.697312058196164,0.5909173956065277,0.8729689773027501,0.8166641002052878,2,1.9733849528407306,0.5376285719017289,木夭丑友什65ba30aa
0.4602289847072701,0.6151957926189435,0.6436025259391354,0.5710530096794253,0.8169308779213164,0.7602555532173755,2,1.8298513282375042,0.48209088824214474,木夭丑友什65ba30ab
0.458254397048193,0.4631173931167704,0.4157925696161879,0.4276402014617925,0.655713942426947,0.5429255012615928,2,1.3065501641947508,0.282020526365901,木夭丑友什65ba35aa
0.4432907890213581,0.7479048981947105,0.6654389882822298,0.515191466353939,0.6773487315040667,0.7376163731909873,2,1.9285353528308793,0.5560023110735604,木夭丑友什65bb30aa
0.4602289847072701,0.6421741162903163,0.6618321921412673,0.529364619596032,0.8466128143843599,0.803605886101452,2,1.8333709280276156,0.4887908890554028,木夭丑友什65bb30ab
0.4602289847072701,0.7391124142162799,0.7840884790339113,0.7913459201893147,0.6285450874825744,0.6661714098383761,2,2.314546813439506,0.672140345233452,木夭丑友什65bb30ba
0.3922590838414496,0.7106032901533441,0.6941681456055704,0.7487858295362544,0.4445404876277147,0.6021973864335378,2,2.153557265295169,0.6737108042718005,木夭丑友什66ab26bb
0.3922590838414496,0.652479779527893,0.6233557558674145,0.6379378036627721,0.5395046049978663,0.5265006223977167,2,1.9137733390580796,0.5378293828095498,木夭丑友什66ba26bb
0.3902345853770314,0.6886028254979428,0.6124805200440244,0.5629599739220131,0.7352507563162713,0.5265006223977167,2,1.8640433194639803,0.4613543671077164,木夭丑友什66ba27aa
0.4164230396447161,0.6603860059785457,0.6992913992049679,0.6781300402930692,0.7783960279126043,0.7783051741882416,2,2.0378074454765827,0.583841792639056,木夭丑友什66ba28bb
0.5172612890421044,0.7620954764287958,0.6933034667244162,0.6501017135563985,0.6285450874825744,0.5503593457856598,2,2.1055006567096104,0.5447723168738003,木夭丑友什66ba32bb
