소재지지번주소,위도,경도,설치개수,구,동,세부주소
경기도 성남시 분당구 동원동 207-14번지,37.35712371,127.0832913,1,분당구,동원동,207-14번지
경기도 성남시 분당구 석운동 60-1번지,37.37857411,127.0462322,1,분당구,석운동,60-1번지
경기도 성남시 중원구 상대원동 1064,37.4368632,127.1667329,2,중원구,상대원,동 1064
경기도 성남시 중원구 상대원동 4785,37.4355516,127.1571484,2,중원구,상대원,동 4785
경기도 성남시 중원구 상대원동 4795,37.435002,127.1571247,1,중원구,상대원,동 4795
경기도 성남시 중원구 상대원동 4816,37.4351105,127.1568763,2,중원구,상대원,동 4816
경기도 성남시 중원구 금광동 3329,37.4499949,127.1637102,1,중원구,금광동,3329
경기도 성남시 중원구 금광동 2997,37.4484701,127.1652891,1,중원구,금광동,2997
경기도 성남시 중원구 금광동 2865,37.4506666,127.166651,1,중원구,금광동,2865
경기도 성남시 중원구 금광동 2813,37.4502428,127.1669316,1,중원구,금광동,2813
경기도 성남시 중원구 금광동 3075,37.4472437,127.1660436,1,중원구,금광동,3075
경기도 성남시 중원구 상대원동 1791,37.4359166,127.1605163,1,중원구,상대원,동 1791
경기도 성남시 중원구 금광동 3531,37.4472217,127.1623708,1,중원구,금광동,3531
경기도 성남시 중원구 금광동 3096,37.4470803,127.1669247,1,중원구,금광동,3096
경기도 성남시 분당구 운중동 325-1번지 2호,37.39226831,127.0594868,1,분당구,운중동,325-1번지 2호
경기도 성남시 분당구 운중동 330번지 1호,37.39316136,127.0596112,1,분당구,운중동,330번지 1호
경기도 성남시 분당구 운중동 330번지 2호,37.39316136,127.0596112,1,분당구,운중동,330번지 2호
경기도 성남시 분당구 운중동 340-4번지 판교파크하임,37.39279631,127.0590285,1,분당구,운중동,340-4번지 판교파크하임
경기도 성남시 분당구 운중동 340-1번지 판교파크하임 1호,37.39259791,127.0590084,1,분당구,운중동,340-1번지 판교파크하임 1호
경기도 성남시 분당구 서현1동,37.38485282,127.1451299,1,분당구,서현1동,
경기도 성남시 분당구 서현1동,37.38485282,127.1451299,1,분당구,서현1동,
경기도 성남시 분당구 율동 서현저수지포드매장앞,37.38511558,127.1553804,1,분당구,율동 서,현저수지포드매장앞
경기도 성남시 분당구 석운동 53-1번지,37.38018369,127.0458166,1,분당구,석운동,53-1번지
경기도 성남시 분당구 석운동 53-8번지,37.37975294,127.0460366,1,분당구,석운동,53-8번지
경기도 성남시 분당구 석운동 53-8번지,37.37975294,127.0460366,1,분당구,석운동,53-8번지
경기도 성남시 분당구 석운동 5-12번지,37.37995651,127.0478181,1,분당구,석운동,5-12번지
경기도 성남시 분당구 석운동 46-1번지,37.38108358,127.0456697,1,분당구,석운동,46-1번지
경기도 성남시 분당구 석운동 46-1번지,37.38108358,127.0456697,1,분당구,석운동,46-1번지
경기도 성남시 분당구 석운동 46-1번지,37.38108358,127.0456697,1,분당구,석운동,46-1번지
경기도 성남시 분당구 석운동 46-1번지,37.38108358,127.0456697,1,분당구,석운동,46-1번지
경기도 성남시 중원구 금광동 3391,37.4479956,127.1630731,1,중원구,금광동,3391
경기도 성남시 중원구 상대원동 3668,37.4384656,127.1542391,1,중원구,상대원,동 3668
경기도 성남시 분당구 정자동 85-17번지,37.36909901,127.1104675,1,분당구,정자동,85-17번지
경기도 성남시 분당구 야탑동 32-2번지,37.40486524,127.1614394,1,분당구,야탑동,32-2번지
경기도 성남시 분당구 야탑동 83번지,37.40182617,127.1598241,1,분당구,야탑동,83번지
경기도 성남시 분당구 율동 서현저수지포드매장옆,37.38511558,127.1553804,1,분당구,율동 서,현저수지포드매장옆
경기도 성남시 분당구 율동 포스파크 서현저수지 입구,37.38511558,127.1553804,1,분당구,율동 포,스파크 서현저수지 입구
경기도 성남시 분당구 율동 포스파크 서현저수지 옆,37.38511558,127.1553804,1,분당구,율동 포,스파크 서현저수지 옆
경기도 성남시 분당구 서현동 145-8번지,37.38417034,127.1404739,1,분당구,서현동,145-8번지
경기도 성남시 분당구 율동,37.38511558,127.1553804,1,분당구,율동,
경기도 성남시 분당구 서현동 23-1번지,37.3850299,127.140961,1,분당구,서현동,23-1번지
