pa,ep,fp,yp,cctv,light,nb,gid
0.7578959172682809,0.23821777045065895,0.17851619515333783,0.0,0.0,0.5924185186098975,0.2501723841590566,木夭丑友什58ab30ba
0.7492238321135645,0.0,0.0,0.0,0.0,0.7352507563162713,0.2501723841590566,木夭丑友什58bb30ab
0.7492238321135645,0.0,0.0,0.0,0.0,0.655713942426947,0.2501723841590566,木夭丑友什59aa30aa
0.7492238321135645,0.0,0.0,0.0,0.0,0.6285450874825744,0.32049916294962255,木夭丑友什59aa30ab
0.7275376797285809,0.0,0.0,0.0,0.5293576393666299,0.5395046049978663,0.3634628232455449,木夭丑友什59ab30aa
0.7275376797285809,0.0,0.0,0.0,0.0,0.0,0.32049916294962255,木夭丑友什59ab30ab
0.7124516497671853,0.0,0.0,0.0,0.0,0.5924185186098975,0.0,木夭丑友什59ba30aa
0.6649485001861359,0.42352875952259245,0.2813002798439459,0.0,0.0,0.5395046049978663,0.3634628232455449,木夭丑友什59ba30bb
0.6413991682908297,0.0,0.1687323867775684,0.0,0.0,0.0,0.41905411043235763,木夭丑友什59ba31ab
0.7181308464152427,0.0,0.0,0.0,0.0,0.6285450874825744,0.2501723841590566,木夭丑友什59bb29bb
0.6703383766212707,0.2741536034109979,0.24694938719698606,0.3074982367330068,0.0,0.8123626588825447,0.47139789628504514,木夭丑友什59bb30ba
0.6361905884514855,0.2515061827710718,0.17851619515333783,0.0,0.0,0.7456140596664806,0.2501723841590566,木夭丑友什59bb30bb
0.6267309299462633,0.0,0.1872886251097624,0.0,0.0,0.6285450874825744,0.32049916294962255,木夭丑友什59bb31aa
0.6301505827083426,0.0,0.1872886251097624,0.0,0.0,0.7712273719644986,0.41905411043235763,木夭丑友什59bb31ab
0.6301505827083426,0.0,0.0,0.0,0.0,0.0,0.39458929918546626,木夭丑友什59bb31ba
0.5745061089107152,0.0,0.0,0.0,0.0,0.0,0.3634628232455449,木夭丑友什59bb32bb
0.7310478844953753,0.0,0.0,0.0,0.0,0.44454048762771475,0.39458929918546626,木夭丑友什60aa29ba
0.7124516497671853,0.2633852523867796,0.17851619515333783,0.0,0.0,0.7783960279126043,0.3634628232455449,木夭丑友什60aa29bb
0.7124516497671853,0.0,0.0,0.0,0.0,0.7236345170406221,0.2501723841590566,木夭丑友什60aa30aa
0.6703383766212707,0.0,0.0,0.0,0.0,0.44454048762771475,0.2501723841590566,木夭丑友什60aa30ab
0.6150848455587987,0.0,0.0,0.0,0.0,0.6773487315040667,0.2501723841590566,木夭丑友什60aa31bb
0.5626253692774869,0.0,0.0,0.0,0.0,0.8212673870518088,0.0,木夭丑友什60aa32ba
0.5745061089107152,0.0,0.0,0.0,0.5293576393666299,0.0,0.2501723841590566,木夭丑友什60aa32bb
0.6890509512539261,0.2515061827710718,0.22163372318261668,0.0,0.0,0.0,0.4846741165785333,木夭丑友什60ab29ba
0.7011022766772252,0.0,0.0,0.0,0.0,0.0,0.2501723841590566,木夭丑友什60ab29bb
0.5693290016490977,0.0,0.0,0.0,0.0,0.0,0.45642109211016785,木夭丑友什60ab32bb
0.6890509512539261,0.0,0.0,0.0,0.0,0.0,0.2501723841590566,木夭丑友什60ba29ab
0.6890509512539261,0.0,0.0,0.0,0.0,0.0,0.0,木夭丑友什60ba29ba
0.6888229815990687,0.3601877955338483,0.3499488476945648,0.0,0.0,0.7712273719644986,0.3634628232455449,木夭丑友什60ba32ba
0.5150541637970322,0.0,0.19526171984866195,0.0,0.0,0.0,0.32049916294962255,木夭丑友什60ba32bb
0.6791490422037187,0.0,0.0,0.0,0.5293576393666299,0.0,0.32049916294962255,木夭丑友什60bb29aa
0.6602345568992697,0.38882816660755176,0.3694288326120472,0.34932950391479856,0.5293576393666299,0.0,0.41905411043235763,木夭丑友什60bb29ab
0.6888229815990687,0.0,0.0,0.0,0.0,0.0,0.2501723841590566,木夭丑友什60bb32ab
0.6888229815990687,0.5540368341556742,0.5411664390541541,0.5629599739220131,0.0,0.8434332324750906,0.47139789628504514,木夭丑友什60bb32ba
0.7910691645828422,0.3016356897316222,0.4318753758411144,0.5076008838202851,0.0,0.0,0.0,木夭丑友什60bb32bb
0.6791490422037187,0.0,0.0,0.0,0.0,0.0,0.3634628232455449,木夭丑友什61aa29aa
0.6602345568992697,0.0,0.25962911534901056,0.3606692977081388,0.0,0.0,0.39458929918546626,木夭丑友什61aa29ab
0.6948787302107144,0.0,0.0,0.0,0.0,0.0,0.0,木夭丑友什61aa29ba
0.642878094591123,0.0,0.0,0.0,0.0,0.0,0.0,木夭丑友什61aa30ab
0.642878094591123,0.0,0.0,0.0,0.0,0.6285450874825744,0.3634628232455449,木夭丑友什61aa30bb
0.4501343813161517,0.0,0.0,0.0,0.0,0.0,0.2501723841590566,木夭丑友什61aa32ab
0.4501343813161517,0.5017150731637381,0.522690346411656,0.529364619596032,0.5293576393666299,0.7236345170406221,0.3634628232455449,木夭丑友什61aa32ba
0.4501343813161517,0.3930998288105562,0.4274446711533193,0.45750123026547723,0.0,0.5395046049978663,0.0,木夭丑友什61aa32bb
0.6365832351323544,0.0,0.0,0.0,0.0,0.0,0.0,木夭丑友什61ab29aa
0.6602345568992697,0.0,0.0,0.0,0.0,0.0,0.0,木夭丑友什61ab29ab
0.5945635470966907,0.0,0.0,0.0,0.0,0.0,0.0,木夭丑友什61ab30aa
0.4501343813161517,0.42352875952259245,0.5622847744998041,0.6397260519476664,0.5293576393666299,0.0,0.0,木夭丑友什61ab32ab
