gid,pa,ep,fp,yp,cctv,light,pop,nb
¤ì‚¬59bb33ab,8.922,,,,0,0,,0
¤ì‚¬59bb33ba,8.922,,,,0,0,,0
¤ì‚¬59bb33bb,8.871,,,,0,0,,0
¤ì‚¬59bb34aa,8.794,,,,0,0,,0
¤ì‚¬59bb34ab,5.711,,,,0,0,,0
¤ì‚¬59bb34ba,12.374,,,,0,0,,0
¤ì‚¬59bb34bb,12.374,,,,0,0,,0
¤ì‚¬59bb35aa,12.374,,,,0,0,,0
¤ì‚¬59bb35ab,7.711,,,,0,0,,0
¤ì‚¬59bb35ba,7.254,,,,0,0,,0
¤ì‚¬59bb35bb,7.254,,,,0,0,,0
¤ì‚¬59bb36aa,7.813,,,,0,0,,0
¤ì‚¬59bb36ab,7.813,,,,0,0,,0
¤ì‚¬59bb36ba,7.394,,,,0,0,,0
¤ì‚¬59bb36bb,5.092,,,,0,0,,0
¤ì‚¬60aa29ba,7.025,0,0,,0,1,0,4
¤ì‚¬60aa29bb,6.339,8,7,,0,15,16,3
¤ì‚¬60aa30aa,6.339,,0,,0,9,17,1
¤ì‚¬60aa30ab,5.025,,0,,0,1,0,1
¤ì‚¬60aa30ba,5.025,,,,0,0,,0
¤ì‚¬60aa30bb,4.4,,,,0,0,,0
¤ì‚¬60aa31aa,4.4,,,,0,0,,0
¤ì‚¬60aa31ab,4.4,,,,0,0,,0
¤ì‚¬60aa31ba,3.953,,,,0,0,,0
¤ì‚¬60aa31bb,3.708,,,,0,6,0,1
¤ì‚¬60aa32aa,3.428,,,,0,0,,0
¤ì‚¬60aa32ab,3.396,,,,0,0,,0
¤ì‚¬60aa32ba,2.781,,0,,0,23,0,0
¤ì‚¬60aa32bb,2.968,0,0,0,1,0,7,1
¤ì‚¬60aa33aa,8.922,,,,0,0,,0
¤ì‚¬60aa33ab,8.922,,,,0,0,,0
¤ì‚¬60aa33ba,8.922,,,,0,0,,0
¤ì‚¬60aa33bb,8.871,,,,0,0,,0
¤ì‚¬60aa34aa,9.1,,,,0,0,,0
¤ì‚¬60aa34ab,9.998,,,,0,0,,0
¤ì‚¬60aa34ba,7.456,,,,0,0,,0
¤ì‚¬60aa34bb,7.456,,,,0,0,,0
¤ì‚¬60aa35aa,7.456,,,,0,0,,0
¤ì‚¬60aa35ab,6.544,,,,0,0,,0
¤ì‚¬60aa35ba,6.544,,,,0,0,,0
¤ì‚¬60aa35bb,6.544,,,,0,0,,0
¤ì‚¬60aa36aa,7.254,,,,0,0,,0
¤ì‚¬60aa36ab,6.537,,,,0,0,,0
¤ì‚¬60aa36ba,6.483,,,,0,0,,0
¤ì‚¬60aa36bb,4.869,,,,0,0,,0
¤ì‚¬60ab29aa,5.571,,,,0,0,,0
¤ì‚¬60ab29ab,5.571,,,,0,0,,0
¤ì‚¬60ab29ba,5.571,7,13,0,0,0,27,9
¤ì‚¬60ab29bb,5.954,0,0,,0,0,7,1
¤ì‚¬60ab30aa,5.025,,,,0,0,,0
¤ì‚¬60ab30ab,5.025,,,,0,0,,0
¤ì‚¬60ab30ba,5.025,,,,0,0,,0
¤ì‚¬60ab30bb,4.4,,,,0,0,,0
¤ì‚¬60ab31aa,4.912,,,,0,0,,0
¤ì‚¬60ab31ab,4.912,,,,0,0,,0
¤ì‚¬60ab31ba,4.912,,,,0,0,,0
