,gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등,security,security_encoded
64,ㅼㅤㄱㅝㅀ695387,127.155746,37.44743257,489.0,257.0,232.0,30.0,18.0,12.0,131.0,75.0,56.0,12.0,6.0,4.0,2000.5,0,7,7,1
67,ㅼㅤㄱㅝㅀ696399,127.1568271,37.45825214,652.0,300.0,352.0,30.0,16.0,14.0,118.0,63.0,55.0,44.0,39.0,5.0,1994.16,2,9,11,1
69,ㅼㅤㄱㅝㅀ675368,127.1332189,37.43023875,541.0,288.0,253.0,18.0,11.0,7.0,140.0,85.0,55.0,40.0,14.0,22.0,1997.9,0,14,14,1
82,ㅼㅤㄱㅝㅀ702376,127.1637041,37.43754039,517.0,241.0,276.0,36.0,23.0,13.0,106.0,57.0,49.0,81.0,9.0,71.0,1988.1,0,18,18,1
90,ㅼㅤㄱㅝㅀ681317,127.1402204,37.38429008,148.0,71.0,77.0,13.0,0.0,8.0,24.0,11.0,13.0,7.0,3.0,2.0,2003.86,0,1,1,1
92,ㅼㅤㄱㅝㅀ680375,127.13884,37.43656566,215.0,107.0,108.0,11.0,0.0,6.0,51.0,26.0,25.0,7.0,1.0,4.0,1991.29,0,2,2,1
93,ㅼㅤㄱㅝㅀ704403,127.1658567,37.4618835,292.0,146.0,146.0,12.0,0.0,9.0,64.0,36.0,28.0,31.0,2.0,27.0,1993.16,2,4,6,1
99,ㅼㅤㄱㅝㅀ684365,127.1434042,37.4275658,228.0,118.0,110.0,16.0,10.0,6.0,47.0,30.0,17.0,16.0,8.0,2.0,1997.25,0,5,5,1
105,ㅼㅤㄱㅝㅀ674386,127.1320092,37.44645967,575.0,271.0,304.0,23.0,15.0,8.0,146.0,90.0,56.0,111.0,1.0,110.0,1988.78,1,20,21,1
108,ㅼㅤㄱㅝㅀ678349,127.1366925,37.41312337,415.0,181.0,234.0,30.0,14.0,16.0,59.0,26.0,33.0,18.0,1.0,17.0,1995.89,0,4,4,1
113,ㅼㅤㄱㅝㅀ706403,127.1681182,37.46188987,86.0,45.0,41.0,7.0,0.0,0.0,19.0,10.0,9.0,15.0,1.0,5.0,1986.33,0,4,4,1
119,ㅼㅤㄱㅝㅀ688367,127.1479167,37.42938207,228.0,120.0,108.0,18.0,11.0,7.0,53.0,30.0,23.0,28.0,4.0,12.0,1992.71,0,6,6,1
120,ㅼㅤㄱㅝㅀ689350,127.1491185,37.41406228,235.0,120.0,115.0,36.0,16.0,20.0,20.0,11.0,9.0,4.0,2.0,2.0,2009.0,0,0,0,0
134,ㅼㅤㄱㅝㅀ669373,127.1264148,37.4347243,101.0,46.0,55.0,7.0,0.0,0.0,19.0,11.0,8.0,8.0,1.0,7.0,1993.0,0,3,3,1
137,ㅼㅤㄱㅝㅀ687381,127.1467271,37.44199773,485.0,226.0,259.0,24.0,12.0,12.0,87.0,47.0,40.0,41.0,4.0,19.0,1993.18,0,6,6,1
143,ㅼㅤㄱㅝㅀ694373,127.1546734,37.43481024,58.0,18.0,40.0,0.0,0.0,0.0,13.0,7.0,6.0,18.0,1.0,17.0,1988.94,1,5,6,1
144,ㅼㅤㄱㅝㅀ678377,127.1365705,37.43836145,546.0,245.0,301.0,28.0,15.0,13.0,146.0,78.0,68.0,115.0,1.0,112.0,1990.27,1,15,16,1
145,ㅼㅤㄱㅝㅀ697400,127.1579537,37.45915678,915.0,466.0,449.0,43.0,24.0,19.0,210.0,120.0,90.0,57.0,47.0,9.0,1993.16,0,9,9,1
147,ㅼㅤㄱㅝㅀ676390,127.1342527,37.45007212,42.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,1989.83,1,1,2,1
155,ㅼㅤㄱㅝㅀ678382,127.1365487,37.44286824,171.0,78.0,93.0,6.0,0.0,0.0,23.0,11.0,12.0,22.0,1.0,5.0,1988.27,1,5,6,1
156,ㅼㅤㄱㅝㅀ624326,127.0757887,37.39218891,202.0,106.0,96.0,33.0,17.0,16.0,14.0,8.0,6.0,10.0,5.0,4.0,2009.7,0,0,0,0
159,ㅼㅤㄱㅝㅀ683374,127.1422354,37.43567462,565.0,287.0,278.0,50.0,29.0,21.0,97.0,58.0,39.0,44.0,14.0,27.0,1993.8,0,11,11,1
162,ㅼㅤㄱㅝㅀ701385,127.1625373,37.44564941,278.0,151.0,127.0,17.0,9.0,8.0,75.0,44.0,31.0,31.0,3.0,15.0,1991.74,0,4,4,1
176,ㅼㅤㄱㅝㅀ685364,127.1445387,37.42666784,57.0,25.0,32.0,0.0,0.0,0.0,15.0,6.0,9.0,5.0,1.0,3.0,1990.2,0,2,2,1
178,ㅼㅤㄱㅝㅀ682390,127.1410361,37.45009291,516.0,244.0,272.0,19.0,11.0,8.0,101.0,59.0,42.0,96.0,1.0,92.0,1991.43,0,12,12,1
