gid,year,cctv,light,log_pa,ep,fp,yp,log_nb
木夭丑友什61bb32ba,-0.8,3.5,3.5,0.198407239,-0.022573363,0.092631579,0.492307692,0.767901584
木夭丑友什61bb32bb,-0.666666667,-0.5,-0.5,0.198407239,-0.176072235,-0.202105263,-0.123076923,-0.726272363
木夭丑友什61bb36ab,-0.4,-0.5,-0.5,1.134833184,-0.121896163,-0.234385965,-0.323076923,0.356540457
木夭丑友什61bb36ba,-0.266666667,-0.5,-0.5,1.134833184,-0.221218962,-0.252631579,-0.323076923,0.375382314
木夭丑友什62aa31ba,-0.6,0.5,0.5,-0.124380056,-0.176072235,-0.200701754,-0.192307692,-1.270062195
木夭丑友什62aa31bb,-0.6,-0.5,-0.5,-0.124380056,1.205417607,1.037192982,1.407692308,-0.115225509
木夭丑友什62aa32aa,-0.6,2,2,-0.444903212,0.681715576,0.919298246,1.807692308,-0.44733994
木夭丑友什62aa32ab,-0.6,1.5,1.5,-1.185829605,0.501128668,0.696140351,1.1,0.096449891
木夭丑友什62aa32ba,-0.533333333,0.5,0.5,0.198407239,0.18510158,0.398596491,0.976923077,-0.074280403
木夭丑友什62aa32bb,-0.6,1.5,1.5,2.666840349,-0.004514673,0.38877193,1.107692308,0.066008928
木夭丑友什62aa33bb,0.866666667,-0.5,-0.5,0.772719931,-0.343115124,-0.341052632,-0.323076923,-1.270062195
木夭丑友什62aa34ab,-0.266666667,-0.5,-0.5,1.343161483,-0.343115124,-0.341052632,-0.323076923,-0.258347632
木夭丑友什62aa36ab,-0.2,0,0,1.134833184,-0.279909707,-0.291929825,-0.323076923,0
木夭丑友什62aa36ba,-0.333333333,0.5,0.5,1.134833184,-0.243792325,-0.280701754,-0.323076923,0.179394223
木夭丑友什62aa36bb,-0.266666667,0.5,0.5,1.056951894,-0.316027088,-0.324210526,-0.323076923,0.179394223
木夭丑友什62aa37aa,-0.466666667,-0.5,-0.5,1.08678312,-0.266365688,-0.296140351,-0.269230769,-0.206709106
木夭丑友什62ab28ab,1,-0.5,-0.5,1.179909707,-0.316027088,-0.33122807,-0.323076923,-1.270062195
木夭丑友什62ab30ab,-0.733333333,-0.5,-0.5,0.738012139,-0.343115124,-0.327017544,-0.323076923,-0.44733994
木夭丑友什62ab30ba,-0.866666667,-0.5,-0.5,0.728447859,-0.311512415,-0.324210526,-0.323076923,-0.3774394
木夭丑友什62ab31ba,-0.533333333,-0.5,-0.5,-0.124380056,0.081264108,-0.019649123,0.038461538,-0.035978813
木夭丑友什62ab31bb,-0.666666667,0,0,-0.609669316,0.130925508,0.015438596,0.169230769,-1.029431361
木夭丑友什62ab32aa,-0.6,0.5,0.5,-0.609669316,0.207674944,0.401403509,0.846153846,-0.526586637
木夭丑友什62ab32ab,-0.6,0,0,-0.609669316,0.374717833,0.593684211,1.292307692,0.204652021
木夭丑友什62ab32ba,-0.6,1.5,1.5,-1.185829605,0.306997743,0.610526316,1.246153846,0.316961216
木夭丑友什62ab32bb,-0.6,1.5,1.5,2.666840349,0.018058691,0.175438596,0.292307692,-0.3774394
木夭丑友什62ab33bb,-0.666666667,-0.5,-0.5,0.772719931,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什62ab34ab,0,-0.5,-0.5,1.310749382,-0.343115124,-0.341052632,-0.323076923,-0.314911236
木夭丑友什62ab35ba,-1.533333333,-0.5,-0.5,1.238208549,-0.343115124,-0.341052632,-0.323076923,-0.115225509
木夭丑友什62ab35bb,-0.066666667,-0.5,-0.5,1.238208549,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什62ab36ab,-1.133333333,-0.5,-0.5,1.578326768,-0.343115124,-0.341052632,-0.323076923,-1.029431361
木夭丑友什62ab36bb,0.6,-0.5,-0.5,1.056951894,-0.343115124,-0.341052632,-0.323076923,-0.618070234
木夭丑友什62ab37aa,0.4,-0.5,-0.5,1.08678312,-0.257336343,-0.29754386,-0.323076923,0.033921727
木夭丑友什62ba28ab,0.2,-0.5,-0.5,1.357616962,-0.343115124,-0.341052632,-0.323076923,-0.858701067
木夭丑友什62ba30ab,-1.133333333,-0.5,-0.5,0.69006369,-0.343115124,-0.341052632,-0.323076923,-1.681423322
木夭丑友什62ba30ba,-0.866666667,-0.5,-0.5,0.728447859,-0.279909707,-0.317192982,-0.323076923,-0.258347632
木夭丑友什62ba30bb,-1,-0.5,-0.5,0.728447859,-0.343115124,-0.325614035,-0.323076923,-0.206709106
木夭丑友什62ba31aa,-0.466666667,-0.5,-0.5,0.728447859,-0.297968397,-0.32,-0.323076923,-0.3774394
木夭丑友什62ba32ab,-0.666666667,2,2,-0.609669316,-0.198645598,-0.05754386,0.361538462,0.125405324
木夭丑友什62ba32ba,-0.666666667,5,5,-1.185829605,0.022573363,0.028070175,0.053846154,0.880870556
木夭丑友什62ba32bb,-0.8,5,5,2.666840349,0.112866817,0.065964912,0.053846154,0.786743441
