year,cctv,light,log_pa,ep,fp,yp,log_nb,gid,label
0,0,0,1.795010453310308,-0.3160270880361174,-0.3312280701754386,-0.3230769230769231,-1.2700621945614374,木夭丑友什58ab30ba,3
0,0,0,1.7428309319272992,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.2700621945614374,木夭丑友什58bb30ab,3
0,0,0,1.7428309319272992,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.2700621945614374,木夭丑友什59aa30aa,3
0,0,0,1.7428309319272992,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.0294313608956993,木夭丑友什59aa30ab,3
0,1,1,1.612459676993181,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.0294313608956993,木夭丑友什59ab30aa,3
0,0,0,1.612459676993181,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.2700621945614374,木夭丑友什59ab30ab,3
0,0,0,1.5218618572203926,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.1152255093764603,木夭丑友什59ba30aa,3
0,0,0,1.2370949791629453,-0.1805869074492099,-0.3031578947368421,-0.3230769230769231,-0.447339940163651,木夭丑友什59ba30bb,3
0,0,0,1.0962094911773874,-0.3431151241534989,-0.3326315789473684,-0.3230769230769231,-0.7262723633726866,木夭丑友什59ba31ab,3
0,0,0,1.5559586047925464,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.8587010673625443,木夭丑友什59bb29bb,3
0,0,0,1.269366861250391,-0.3024830699774266,-0.3157894736842105,-0.2769230769230769,-0.2583476316502001,木夭丑友什59bb30ba,3
0,0,0,1.0650742961087216,-0.3115124153498871,-0.3312280701754386,-0.3230769230769231,-0.8587010673625443,木夭丑友什59bb30bb,3
0,0,0,1.0085511148035455,-0.3431151241534989,-0.3298245614035088,-0.3230769230769231,-0.1152255093764603,木夭丑友什59bb31aa,3
0,0,0,1.0289806541680684,-0.3431151241534989,-0.3298245614035088,-0.3230769230769231,-0.1152255093764603,木夭丑友什59bb31ab,3
0,0,0,1.0289806541680684,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.8587010673625443,木夭丑友什59bb31ba,3
0,0,0,0.697044331583594,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.8587010673625443,木夭丑友什59bb32bb,3
0,0,0,1.6335511067797883,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.8587010673625443,木夭丑友什60aa29ba,3
0,0,0,1.5218618572203926,-0.3069977426636568,-0.3312280701754386,-0.3230769230769231,0.2288785950149577,木夭丑友什60aa29bb,3
0,0,0,1.5218618572203926,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.447339940163651,木夭丑友什60aa30aa,3
0,0,0,1.269366861250391,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.2700621945614374,木夭丑友什60aa30ab,3
0,0,0,0.9390053671499254,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.681423321760331,木夭丑友什60aa31bb,1
0,0,0,0.6263077006612258,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.681423321760331,木夭丑友什60aa32ba,1
0,1,1,0.697044331583594,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.681423321760331,木夭丑友什60aa32bb,1
0,0,0,1.3814853813257968,-0.3115124153498871,-0.3228070175438596,-0.3230769230769231,-0.2583476316502001,木夭丑友什60ab29ba,3
0,0,0,1.4537556431461294,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.8587010673625443,木夭丑友什60ab29bb,3
0,0,0,0.6662145449255577,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.1152255093764603,木夭丑友什60ab32bb,3
0,0,0,1.3814853813257968,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.681423321760331,木夭丑友什60ba29ab,3
0,0,0,1.3801187552180547,-0.2483069977426636,-0.263859649122807,-0.3230769230769231,-0.1152255093764603,木夭丑友什60ba32ba,3
0,0,0,0.3435499465778125,-0.3431151241534989,-0.3284210526315789,-0.3230769230769231,-1.0294313608956993,木夭丑友什60ba32bb,1
0,1,1,1.322142066041568,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.8587010673625443,木夭丑友什60bb29aa,3
0,1,1,1.2088783678861057,-0.2212189616252821,-0.2484210526315789,-0.2538461538461538,0.0964498910251,木夭丑友什60bb29ab,3
0,0,0,1.3801187552180547,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.0294313608956993,木夭丑友什60bb32ab,3
0,0,0,1.3801187552180547,0.0767494356659142,0.0140350877192982,0.0692307692307692,0.6859136880324573,木夭丑友什60bb32ba,3
0,0,0,1.994851740270256,-0.2889390519187358,-0.1824561403508772,-0.0615384615384615,-0.0359788129647575,木夭丑友什60bb32bb,3
0,0,0,1.322142066041568,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.0294313608956993,木夭丑友什61aa29aa,3
0,0,0,1.2088783678861057,-0.3431151241534989,-0.311578947368421,-0.2461538461538461,-0.5265866365753535,木夭丑友什61aa29ab,3
0,0,0,1.105051712922588,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.0294313608956993,木夭丑友什61aa30bb,3
0,0,0,-0.0411023091468695,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.2700621945614374,木夭丑友什61aa32ab,1
0,1,1,-0.0411023091468695,-0.0496613995485327,-0.0280701754385964,-0.0153846153846153,0.5224653098860547,木夭丑友什61aa32ba,0
